"logFC","logCPM","PValue","FDR","ENTREZID","SYMBOL","GENENAME"
-6.13335423246019,3.57627105367877,1.12730782867553e-20,1.34912375858206e-16,"48230",NA,NA
-6.82676855197283,4.05100809398614,1.17366138197656e-20,1.34912375858206e-16,"42101",NA,NA
-7.34138131046119,3.76960430323378,6.47449166793458e-20,4.9616187815272e-16,"3388","ICR1","ichthyosis congenita I, erythromatous lamellar ichthyosis, ichthyosiform erythroderma"
-6.76081634267587,6.11278020504935,9.57689602622998e-20,5.50432099107568e-16,"31449",NA,NA
-3.48150875697402,2.64051643070876,4.70351703860066e-19,2.16267713434859e-15,"45890",NA,NA
-4.55148584842367,3.88790448324133,1.46964579127091e-18,5.63119279021969e-15,"45681",NA,NA
-3.88705271688875,5.35810029357512,2.79189845247692e-18,9.16939220320635e-15,"49407",NA,NA
-4.17749621496515,4.62479740597671,4.26758890791107e-18,1.22639836241094e-14,"10926","DBF4","DBF4 zinc finger"
-6.54505198631938,5.06714056005723,9.30489127917826e-18,2.37688278342565e-14,"49043",NA,NA
-4.04155762652462,1.42518304389779,2.81589020088666e-17,6.28689426321571e-14,"49026",NA,NA
-3.04754105613619,2.46768034550742,3.00808337952905e-17,6.28689426321571e-14,"14293",NA,NA
-3.85461552479371,3.88550024847363,4.94830874724417e-17,9.48013484159528e-14,"3725","JUN","Jun proto-oncogene, AP-1 transcription factor subunit"
-6.70137375815034,2.42419528135566,5.77225815044297e-17,1.02080165291295e-13,"47726",NA,NA
-3.05981204956124,3.75120110756087,7.54070620612699e-17,1.23829168342042e-13,"34245",NA,NA
-6.02650623970263,3.16935052661039,1.39213886584334e-16,2.13368483504923e-13,"4412","MRX49","mental retardation, X-linked 49"
-5.73648533996675,4.01670587624339,4.67595089936641e-16,6.71875694852711e-13,"23497",NA,NA
-6.5144289527183,2.35922899003769,1.19412988161165e-15,1.61488505754422e-12,"53056",NA,NA
-4.08355535967999,3.60536935449269,1.44503547790115e-15,1.77009649818174e-12,"25262",NA,NA
-3.07770113269245,4.49649325862155,1.46288966791879e-15,1.77009649818174e-12,"17962",NA,NA
-4.58624599974178,1.66951372900616,2.21561019504699e-15,2.54684391920652e-12,"10762","NUP50","nucleoporin 50"
-3.83758429157012,2.19840312089011,3.93822397784294e-15,4.31141758336234e-12,"13649",NA,NA
-3.86907888003048,4.50185086089078,4.80827457064665e-15,4.93106904737404e-12,"4395","MRX31","mental retardation, X-linked 31"
-4.44318194921784,1.61424573722374,4.93321392299273e-15,4.93106904737404e-12,"4999","ORC2","origin recognition complex subunit 2"
-3.68978195236616,5.94406724259208,5.42617569731218e-15,5.19782413671696e-12,"46043",NA,NA
-4.21627668446387,1.93400975176728,5.94689439550049e-15,5.46876408610225e-12,"4297","KMT2A","lysine methyltransferase 2A"
-3.45322132031948,5.89871177712483,7.51249470667383e-15,6.64277897332428e-12,"42172",NA,NA
-5.13561587988122,3.41519866573152,9.7349064105623e-15,8.28909253254916e-12,"3383","ICAM1","intercellular adhesion molecule 1"
-3.62824492299985,4.33398064507493,1.52905568859847e-14,1.25546393860281e-11,"4446",NA,NA
-3.49503354851662,2.68187242119302,1.64599792692601e-14,1.3048790462079e-11,"12789",NA,NA
-3.57536207832014,4.7574803792209,2.2321950969485e-14,1.71060550929487e-11,"40218",NA,NA
-3.10610116601733,5.79388184569705,2.90954198309686e-14,2.15775387714184e-11,"31641",NA,NA
-8.27188089966576,2.83478377262546,3.42745468919836e-14,2.41756182833683e-11,"26150","RIBC2","RIB43A domain with coiled-coils 2"
-3.03822780655178,3.34282029220282,3.50094082069247e-14,2.41756182833683e-11,"33310",NA,NA
-3.76281763935508,2.46667316364667,3.57534154690962e-14,2.41756182833683e-11,"20103",NA,NA
-5.93166474131572,1.22407731634242,5.13807497562427e-14,3.31348079864565e-11,"10698",NA,NA
-4.54763302940923,0.910662215699267,5.18857367339031e-14,3.31348079864565e-11,"47708",NA,NA
-3.50603542377667,4.56458464803884,6.38594855092203e-14,3.96791776177561e-11,"44542",NA,NA
-3.92705489374199,3.07350220652696,7.46958487088495e-14,4.46043728753073e-11,"12828",NA,NA
-3.0849400200047,4.45225116857477,7.56664002669414e-14,4.46043728753073e-11,"30428",NA,NA
-6.95738629871854,3.37843291063195,8.89129379721535e-14,5.11027110994952e-11,"3387",NA,NA
-3.82215690939636,3.94221087184877,1.08152813048384e-13,5.96995967659216e-11,"28661","TRAV22","T cell receptor alpha variable 22"
-5.07315188700365,0.17420891359498,1.09064074126521e-13,5.96995967659216e-11,"18691",NA,NA
-3.15398963409965,4.0405640596702,1.43479309937762e-13,7.67113798946313e-11,"48159",NA,NA
-5.41769562963941,5.34320543164519,1.94474290596114e-13,1.01612816836469e-10,"52378",NA,NA
-3.29362243959094,1.81627091342167,2.02693765827187e-13,1.03553992808156e-10,"43702",NA,NA
-3.36288307682022,2.73751069051338,2.26073900611786e-13,1.1298780380576e-10,"30188",NA,NA
-3.70691110860864,4.10997064962555,2.38024988096403e-13,1.15241670498095e-10,"41999",NA,NA
-3.50574941600191,3.49316493990657,2.40608968417075e-13,1.15241670498095e-10,"52884",NA,NA
-3.06398428099341,2.75729520580258,3.37474610046641e-13,1.52899681985452e-10,"53047",NA,NA
-3.37261528548254,4.1089366123768,3.37702886198671e-13,1.52899681985452e-10,"48868",NA,NA
-3.56734234013076,1.88649520477194,3.39185897401393e-13,1.52899681985452e-10,"49025",NA,NA
-2.17302405463844,3.8799809051237,3.82808662769299e-13,1.6849087558798e-10,"21970",NA,NA
-3.29759059458471,4.35635401516784,3.88430465687818e-13,1.6849087558798e-10,"55086","RADX","RPA1 related single stranded DNA binding protein, X-linked"
-2.38834571872529,4.69672539767362,4.30902373746312e-13,1.81149906258593e-10,"47677",NA,NA
-2.78023320390279,5.22461830047027,4.33372981479887e-13,1.81149906258593e-10,"48121",NA,NA
-3.60289866879799,3.04243515705004,6.09871202874518e-13,2.50373909894378e-10,"54641",NA,NA
-3.57756694728604,3.32498525613462,6.51132817278403e-13,2.62623569635623e-10,"49121",NA,NA
-4.48831548767461,1.88313817599297,7.40308254428825e-13,2.93442875333081e-10,"3434","IFIT1","interferon induced protein with tetratricopeptide repeats 1"
-6.70100410995286,3.30679765429295,7.9355043682441e-13,3.09215670213444e-10,"13386",NA,NA
-5.83515231331961,1.2792132765237,8.99173344537644e-13,3.44533253182007e-10,"53058",NA,NA
-3.36347241453902,5.45257714564316,1.06001669546275e-12,3.99504652929322e-10,"2478","FRAXB","fragile site, aphidicolin type, common, fra(X)(p22.31) B"
-3.03411083477617,4.97076533993297,1.18445410446249e-12,4.33069563844938e-10,"45665",NA,NA
-3.98129845584003,1.52701207463092,1.18675000096699e-12,4.33069563844938e-10,"728","C5AR1","complement C5a receptor 1"
-4.22119233927824,3.22729029851183,1.53267015291312e-12,5.50563856491758e-10,"18468",NA,NA
-4.74199296631553,3.47218116184051,1.8046994840484e-12,6.38308325204197e-10,"18375",NA,NA
-2.18859177777379,5.75964408883675,1.83753487999518e-12,6.40074649864989e-10,"34475",NA,NA
-3.89357606093266,3.90726631582136,1.9818465437769e-12,6.80039582707923e-10,"818","CAMK2G","calcium/calmodulin dependent protein kinase II gamma"
-4.93404633395334,3.91840051891724,2.21000530434276e-12,7.47176793335885e-10,"43621",NA,NA
-5.02703910109234,1.27219913952184,2.96743844407086e-12,9.88716084481002e-10,"52504",NA,NA
-3.2032916328983,4.62435990462172,3.42335254241044e-12,1.12432678500023e-09,"21264",NA,NA
-5.36062582463248,2.50959258998204,4.27569355457068e-12,1.38448161717718e-09,"49477",NA,NA
-2.8329480207777,3.89257884434785,4.42840939209905e-12,1.41401572117163e-09,"53919","SLCO1C1","solute carrier organic anion transporter family member 1C1"
-3.17195281950089,4.47306476975709,4.70352617406853e-12,1.4812885855046e-09,"54296",NA,NA
-1.9133502317221,4.8934823841612,4.77835862907329e-12,1.48451979570804e-09,"18356",NA,NA
-3.31337290852295,2.09941646617175,4.90712788409954e-12,1.49703704667117e-09,"42746",NA,NA
-4.4279540985212,1.61616915341203,4.9611802154819e-12,1.49703704667117e-09,"45499",NA,NA
-2.83523092833781,2.39300074108107,5.07295989463842e-12,1.49703704667117e-09,"10787","NCKAP1","NCK associated protein 1"
-2.45361363497395,2.71899404037331,5.08451085219534e-12,1.49703704667117e-09,"47533",NA,NA
-3.57115424061844,4.13435231233308,5.16003146897219e-12,1.49703704667117e-09,"49050",NA,NA
-3.64766528180344,-1.62186315911777,5.23481826948399e-12,1.49703704667117e-09,"7973",NA,NA
-2.31164151314872,4.19965198725967,5.27446719357827e-12,1.49703704667117e-09,"41549",NA,NA
-3.03720043638376,0.442539256991002,5.37189060723098e-12,1.50609469585659e-09,"35047",NA,NA
-5.30655079542488,7.11412798845713,5.57982591445211e-12,1.54554455148499e-09,"39060",NA,NA
-2.54372335906721,3.7988873336092,5.73420348692942e-12,1.5693968829108e-09,"46041",NA,NA
-4.69045754037255,4.39556195412232,6.05519910466379e-12,1.63744498701195e-09,"16760",NA,NA
-4.27836494462024,1.49249176478341,6.12528355298077e-12,1.63744498701195e-09,"12792",NA,NA
-3.52419188179335,3.1090840231086,6.86637419091857e-12,1.79736274330023e-09,"8918","HERC2P6","hect domain and RLD 2 pseudogene 6"
-2.48293555793085,4.74891183569179,6.87985739062291e-12,1.79736274330023e-09,"53933",NA,NA
-2.26287970688446,2.48235932315229,7.51020390018333e-12,1.93999536702488e-09,"35404",NA,NA
-2.77398542829864,1.90416873380126,7.61130169027358e-12,1.94426473177099e-09,"20374",NA,NA
-2.74444572475831,2.55306710580138,8.71951257916611e-12,2.20287466148383e-09,"8177","LPSA","Oncogene liposarcoma (DNA segment, single copy, expressed, probes"
-7.93810355676552,2.58015715587099,9.0700223513177e-12,2.26651971583472e-09,"38705",NA,NA
-1.93813947358337,6.24777105363033,9.28837287449786e-12,2.29612572456673e-09,"27246","RNF115","ring finger protein 115"
-2.86289507933514,0.377888646165745,9.7217689159328e-12,2.37769646146059e-09,"18543",NA,NA
-2.54440798083477,2.52609473887859,9.86993881275386e-12,2.38852519268643e-09,"44543",NA,NA
-5.61367825928322,3.62323389031587,1.00878862714512e-11,2.40032158814003e-09,"52421",NA,NA
-2.44435692052787,5.07728503030789,1.01274986537444e-11,2.40032158814003e-09,"38613",NA,NA
-5.5407839498013,2.41977193058096,1.05114771677456e-11,2.46590673557624e-09,"44045",NA,NA
-3.7844469715058,-0.618499194160721,1.28957725372702e-11,2.96040051189919e-09,"47623",NA,NA
-3.51022526603573,3.84306719021637,1.30161717747513e-11,2.96040051189919e-09,"20524",NA,NA
-3.99582916482106,3.78857178957272,1.30306227186943e-11,2.96040051189919e-09,"3496","IGHDOR15@","immunoglobulin heavy diversity orphans on chromosome 15"
-3.23851611585731,3.80358671251526,1.31344433324801e-11,2.96040051189919e-09,"4244",NA,NA
-4.04853813338626,1.98615088643981,1.33301419771407e-11,2.97533945683947e-09,"42139",NA,NA
-4.26585271870502,0.906803156283014,1.35736467380779e-11,3.00055902411934e-09,"41728",NA,NA
-4.49347484451969,4.94415152944756,1.39075607274402e-11,3.04509353451286e-09,"32624",NA,NA
-2.38165503656313,6.33434874930678,1.56134549408201e-11,3.38635216122126e-09,"43631",NA,NA
-3.79591901295893,1.85120872148475,1.96167174284545e-11,4.21484424000158e-09,"50106",NA,NA
-4.88233308493854,1.32596994600177,2.05994450480366e-11,4.3541430353431e-09,"13159",NA,NA
-1.85939498751371,5.78372807299219,2.06438273533013e-11,4.3541430353431e-09,"33354",NA,NA
-2.90120902269324,4.80688537877032,2.09920844729824e-11,4.38734565485333e-09,"3519","IGKV@","immunoglobulin kappa variable cluster"
-2.02746505305723,5.81723639887423,2.49432020384361e-11,5.16616409787067e-09,"18048",NA,NA
-6.9147571476258,2.16753021319954,2.57948326598693e-11,5.29485002544995e-09,"3563","IL3RA","interleukin 3 receptor subunit alpha"
-6.22800504279529,2.19882137738324,2.74578099612494e-11,5.58632788503648e-09,"35052",NA,NA
-3.12772662410799,1.17827890146778,2.87065948399247e-11,5.78916329271815e-09,"43865",NA,NA
-3.25075291506417,2.23782495509119,3.1565539064835e-11,6.31036298348311e-09,"42596",NA,NA
-4.67840791549713,6.66995377943243,3.1991486381673e-11,6.34038165443674e-09,"6717","SRI","sorcin"
-2.60032129897892,3.72966494479355,3.22789626905819e-11,6.34267822441434e-09,"28238",NA,NA
-2.05527113329017,5.54326282558955,3.32988848185244e-11,6.48763866082945e-09,"25595",NA,NA
-3.14015404537183,4.05146049543042,3.85215392814612e-11,7.42367391162259e-09,"23754","RPL32P5","ribosomal protein L32 pseudogene 5"
-4.42505779770161,1.1012569731745,3.90393981049962e-11,7.42367391162259e-09,"47494",NA,NA
-2.83919453094543,3.50340859319225,3.90719679559084e-11,7.42367391162259e-09,"27605",NA,NA
-2.76387960652466,5.32395059993844,3.95288108169347e-11,7.4489127924699e-09,"43771",NA,NA
-2.12501292418316,4.14090881862939,4.45876744867953e-11,8.33390761342621e-09,"34338",NA,NA
-2.85586335185808,4.67479752399081,5.17071897374708e-11,9.58667977471334e-09,"17276",NA,NA
-3.28435153062649,3.08228276524149,5.54261233116568e-11,1.01939725994799e-08,"3503","IGHG4","immunoglobulin heavy constant gamma 4 (G4m marker)"
-2.75001011722304,2.61612006659974,5.66162519226929e-11,1.03302192992279e-08,"34059",NA,NA
-4.15329329525781,2.18109026430556,5.97951034588006e-11,1.08243262088018e-08,"50860",NA,NA
-3.2556606665965,-0.486842981986206,6.58509052018974e-11,1.1827439926497e-08,"47842",NA,NA
-1.79318865654657,2.27445875797536,6.67882464002758e-11,1.19028045328864e-08,"15380",NA,NA
-4.00889225252873,1.59179752901621,6.97286658181416e-11,1.23312463627621e-08,"26110",NA,NA
-2.14394924246389,4.192499858054,7.10311184133595e-11,1.24656901704056e-08,"6308","SC4MOP","sterol-C4-methyl oxidase pseudogene"
-1.78955449087649,5.11526066740011,7.46966274039e-11,1.30096626061793e-08,"43259",NA,NA
-3.63447375616066,3.56304213334022,7.54748464427539e-11,1.3046366313676e-08,"3505","IGHGP","immunoglobulin heavy constant gamma P (non-functional)"
-4.73046347014236,-0.0479903252178555,7.86048883481373e-11,1.34860177845051e-08,"19076",NA,NA
-3.88708001309097,0.685513285260162,8.12854242025124e-11,1.38426066845612e-08,"3401",NA,NA
-2.27468625434121,4.69185287115963,8.71084534401382e-11,1.47251716513881e-08,"18444",NA,NA
-2.67527256790722,1.12386907860225,1.00357329335428e-10,1.68409854118357e-08,"37866",NA,NA
-2.56847180616192,3.27009903475853,1.07226722104448e-10,1.78633502984149e-08,"47924",NA,NA
