"logFC","logCPM","PValue","FDR","ENTREZID","SYMBOL","GENENAME"
-8.94315903106967,5.06714056005723,4.96907734124888e-26,9.35432999979085e-22,"49043",NA,NA
-8.20973645653269,4.05100809398614,8.13773814683849e-26,9.35432999979085e-22,"42101",NA,NA
-6.86693236795476,3.57627105367877,7.41389240944452e-24,5.68151288310432e-20,"48230",NA,NA
-7.9969476876817,4.39556195412232,1.08500030543186e-23,6.2360392554696e-20,"16760",NA,NA
-7.4954561810375,6.11278020504935,1.86875852522214e-22,8.59255169897141e-19,"31449",NA,NA
-7.86085277428767,6.66995377943243,5.56736993849847e-22,2.13323058143466e-18,"6717","SRI","sorcin"
-5.06670204978192,3.88790448324133,1.42521846456646e-21,4.68082464291186e-18,"45681",NA,NA
-7.80255325467447,3.76960430323378,1.83940457134459e-21,5.28598888690152e-18,"3388","ICR1","ichthyosis congenita I, erythromatous lamellar ichthyosis, ichthyosiform erythroderma"
-7.87156225087889,4.42798235898307,2.70247609336864e-21,6.90332504294946e-18,"3379",NA,NA
-4.25292701894482,5.35810029357512,6.82068747665801e-21,1.56807605088368e-17,"49407",NA,NA
-5.19940383905039,1.93400975176728,6.23459605554696e-20,1.30303057560931e-16,"4297","KMT2A","lysine methyltransferase 2A"
-6.95359815777788,3.16935052661039,8.17348104160995e-20,1.56590274288844e-16,"4412","MRX49","mental retardation, X-linked 49"
-8.57705569969477,3.62323389031587,1.24971746027816e-19,2.21007726244577e-16,"52421",NA,NA
-7.78153884089228,2.35922899003769,2.52598768648767e-19,4.14803263659654e-16,"53056",NA,NA
-3.50876457271066,2.64051643070876,2.86416488729061e-19,4.38981005058741e-16,"45890",NA,NA
-8.72614384078876,4.62557989978815,3.50765125547658e-19,5.04005639771291e-16,"6694","SPP2","secreted phosphoprotein 2"
-4.72341603746655,3.60536935449269,4.2069868092672e-19,5.68933098500311e-16,"25262",NA,NA
-9.21191840245163,5.28906896432106,6.4392317796003e-19,8.22432992294505e-16,"39245",NA,NA
-7.03740378372489,5.34320543164519,8.58338768300793e-19,9.95123415690973e-16,"52378",NA,NA
-5.32334373295079,1.66951372900616,8.65701101079576e-19,9.95123415690973e-16,"10762","NUP50","nucleoporin 50"
-8.42913157565915,2.64599091437076,9.39557758300472e-19,1.00496509600327e-15,"39124",NA,NA
-6.87812244992944,6.87180497637516,9.61689087084473e-19,1.00496509600327e-15,"13257",NA,NA
-6.1431593309464,3.41519866573152,1.18924393432553e-18,1.18872687174539e-15,"3383","ICAM1","intercellular adhesion molecule 1"
-4.47589636019349,4.50185086089078,1.31227707049098e-18,1.25705207710782e-15,"4395","MRX31","mental retardation, X-linked 31"
-6.37037275828084,4.01670587624339,2.15782725345932e-18,1.98433794228119e-15,"23497",NA,NA
-4.1922330390294,1.42518304389779,3.3174927281892e-18,2.88349518778364e-15,"49026",NA,NA
-7.35341612564403,7.11412798845713,3.38644497912824e-18,2.88349518778364e-15,"39060",NA,NA
-7.99508006482374,2.41977193058096,3.813068620002e-18,3.13080169906593e-15,"44045",NA,NA
-7.58444016505029,5.12940721353301,4.49812297777501e-18,3.56592576755336e-15,"6695","SPOCK1","SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1"
-8.5740636089321,11.1522861480051,4.88161824457747e-18,3.74094678142787e-15,"39075",NA,NA
-8.72196409123241,3.37843291063195,6.19105373096959e-18,4.59136533145132e-15,"3387",NA,NA
-8.34407868873324,6.36319637725904,6.51346778340055e-18,4.67951951063683e-15,"52465",NA,NA
-6.49169888727604,3.91840051891724,1.01852908420031e-17,7.0957526199288e-15,"43621",NA,NA
-7.85459318657126,2.85319555898761,1.13028174084386e-17,7.64269918294129e-15,"39088",NA,NA
-7.32821757910059,4.49214749899776,1.21839707898735e-17,8.00312824169117e-15,"6712","SPTBN2","spectrin beta, non-erythrocytic 2"
-6.7800166350083,6.97290242207824,1.95713946382638e-17,1.24985100759357e-14,"39079",NA,NA
-3.06637635791159,2.46768034550742,2.1169421387462e-17,1.31106643497238e-14,"14293",NA,NA
-5.82180151947026,0.906803156283014,2.16705195863203e-17,1.31106643497238e-14,"41728",NA,NA
-6.03306496700654,4.94415152944756,3.54560914253842e-17,2.09009113299893e-14,"32624",NA,NA
-3.90486859372527,2.68187242119302,4.24035171190008e-17,2.42315726763956e-14,"12789",NA,NA
-7.61631924294267,5.46330606941961,4.32142009452901e-17,2.42315726763956e-14,"39069",NA,NA
-5.06572225775788,1.85120872148475,4.9426312644851e-17,2.70550220882172e-14,"50106",NA,NA
-4.00714482503661,4.62479740597671,5.10675211327719e-17,2.7303309554475e-14,"10926","DBF4","DBF4 zinc finger"
-3.11172825018069,4.74891183569179,5.48159982564843e-17,2.86413590890131e-14,"53933",NA,NA
-4.16008716475946,2.19840312089011,5.67762423434935e-17,2.90063513661537e-14,"13649",NA,NA
