"","logFC.SFIvsNIT","logFC.ELIvsNIT","logFC.ELIvsSFI","logCPM","F","PValue","FDR"
"42101",1.40383286922599,8.22006762654886,6.81623475732287,4.05100809398614,89.5995924350687,1.60967173372141e-13,2.6093212325774e-09
"48230",0.73921379554287,6.86899918763547,6.1297853920926,3.57627105367877,84.4100899437107,3.25879533721049e-13,2.6093212325774e-09
"3388",0.446041241833489,7.78977757365684,7.34373633182335,3.76960430323378,83.0605680189326,4.30998856903369e-13,2.6093212325774e-09
"49043",2.38653678181954,8.9287060528262,6.54216927100665,5.06714056005723,82.7270458596821,4.53992384963444e-13,2.6093212325774e-09
"31449",0.734360647152994,7.49613852133402,6.76177787418103,6.11278020504935,76.8032678890647,1.17839712686659e-12,5.41826998933257e-09
"53056",1.26275696110359,7.7870567153571,6.52429975425352,2.35922899003769,72.2773687154985,2.33851227454165e-12,7.99855387423246e-09
"45681",0.516670851140695,5.0657365806134,4.54906572947271,3.88790448324133,72.1721457893252,2.4354013536158e-12,7.99855387423246e-09
"45890",0.0271748889181623,3.5086515728459,3.48147668392774,2.64051643070876,69.428674914212,3.17464951782067e-12,9.12314905183716e-09
"49407",0.366888097023819,4.25344267051282,3.886554573489,5.35810029357512,68.2492860596137,4.92752050810038e-12,1.17440389172663e-08
"4412",0.934139759075833,6.95885895226549,6.02471919318966,3.16935052661039,68.0534857666254,5.10832488789311e-12,1.17440389172663e-08
